,METRO_ID,Metropolitan areas,VAR,Variables,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
74,BE002,Antwerp,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,925.29,,
75,BE003,Ghent,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,530.14,,
76,BE003,Ghent,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,533.65,,
77,BE003,Ghent,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,537.19,,
78,BE003,Ghent,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,540.76,,
79,BE003,Ghent,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,544.35,,
80,BE003,Ghent,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,547.98,,
81,BE003,Ghent,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,551.64,,
82,BE003,Ghent,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,555.33,,
83,BE003,Ghent,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,559.04,,
84,BE003,Ghent,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,562.79,,
85,BE003,Ghent,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,566.57,,
86,BE003,Ghent,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,570.38,,
87,BE003,Ghent,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,574.22,,
88,BE003,Ghent,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,578.09,,
89,BE003,Ghent,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,582.0,,
90,BE005,Liege,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,491.13,,
91,BE005,Liege,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,493.32,,
92,BE005,Liege,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,495.52,,
93,BE005,Liege,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,497.73,,
94,BE005,Liege,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,499.97,,
95,BE005,Liege,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,502.21,,
96,BE005,Liege,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,504.47,,
97,BE005,Liege,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,506.75,,
98,BE005,Liege,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,509.04,,
99,BE005,Liege,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,511.35,,
100,BE005,Liege,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,513.67,,
101,BE005,Liege,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,516.01,,
102,BE005,Liege,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,518.37,,
103,BE005,Liege,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,520.74,,
104,BE005,Liege,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,523.12,,
105,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,47.46,,
106,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,48.51,,
107,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,49.45,,
108,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,50.41,,
109,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,51.39,,
110,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,52.39,,
111,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,53.41,,
112,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,54.76,,
113,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,56.15,,
114,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,57.58,,
115,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,59.05,,
116,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,60.56,,
117,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,61.93,,
118,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,63.34,,
119,CAN01,Edmonton,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,64.77,,
120,CAN04,Calgary,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,78.17,,
121,CAN04,Calgary,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,80.25,,
122,CAN04,Calgary,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,82.37,,
123,CAN04,Calgary,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,84.55,,
124,CAN04,Calgary,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,86.79,,
125,CAN04,Calgary,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,89.09,,
126,CAN04,Calgary,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,91.46,,
127,CAN04,Calgary,POP_DENS,Population density (persons per km2),2007,2007,RATIO,Ratio,0,Units,,,93.96,,
128,CAN04,Calgary,POP_DENS,Population density (persons per km2),2008,2008,RATIO,Ratio,0,Units,,,96.53,,
129,CAN04,Calgary,POP_DENS,Population density (persons per km2),2009,2009,RATIO,Ratio,0,Units,,,99.18,,
130,CAN04,Calgary,POP_DENS,Population density (persons per km2),2010,2010,RATIO,Ratio,0,Units,,,101.91,,
131,CAN04,Calgary,POP_DENS,Population density (persons per km2),2011,2011,RATIO,Ratio,0,Units,,,104.73,,
132,CAN04,Calgary,POP_DENS,Population density (persons per km2),2012,2012,RATIO,Ratio,0,Units,,,107.6,,
133,CAN04,Calgary,POP_DENS,Population density (persons per km2),2013,2013,RATIO,Ratio,0,Units,,,110.56,,
134,CAN04,Calgary,POP_DENS,Population density (persons per km2),2014,2014,RATIO,Ratio,0,Units,,,113.61,,
135,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2000,2000,RATIO,Ratio,0,Units,,,33.89,,
136,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2001,2001,RATIO,Ratio,0,Units,,,34.2,,
137,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2002,2002,RATIO,Ratio,0,Units,,,34.4,,
138,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2003,2003,RATIO,Ratio,0,Units,,,34.61,,
139,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2004,2004,RATIO,Ratio,0,Units,,,34.82,,
140,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2005,2005,RATIO,Ratio,0,Units,,,35.03,,
141,CAN06,Winnipeg,POP_DENS,Population density (persons per km2),2006,2006,RATIO,Ratio,0,Units,,,35.24,,
