,METRO_ID,Metropolitan areas,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
123,JP030,Tokyo,3816.86,3838.94,3861.39,3884.22,3907.42,3931.02,3958.07,3985.5,4013.3,4041.48,4070.06,4097.27,4124.86,4152.82,4181.17
124,JP031,Kofu,647.7,648.93,650.17,651.43,652.7,653.99,653.11,652.23,651.37,650.52,649.68,649.91,650.16,650.42,650.68
125,JP034,Nagoya,1568.57,1574.52,1580.54,1586.62,1592.76,1598.97,1603.92,1608.94,1614.02,1619.17,1624.38,1630.29,1636.27,1642.31,1648.41
126,JP036,Numazu,1099.99,1100.91,1101.85,1102.81,1103.81,1104.82,1103.44,1102.08,1100.75,1099.45,1098.17,1098.12,1098.09,1098.08,1098.1
127,JP038,Osaka,2436.4,2438.91,2441.56,2444.34,2447.25,2450.3,2452.55,2454.91,2457.37,2459.94,2462.63,2465.87,2469.23,2472.71,2476.32
128,JP039,Shizuoka,642.5,637.44,632.43,627.45,622.51,617.61,619.9,622.24,624.65,627.11,629.63,628.43,627.24,626.06,624.9
129,JP040,Anjo,2396.41,2426.05,2456.07,2486.49,2517.3,2548.52,2567.16,2585.95,2604.91,2624.04,2643.34,2669.49,2695.91,2722.62,2749.6
130,JP042,Yokkaichi,1257.44,1262.62,1267.83,1273.08,1278.38,1283.72,1290.24,1296.86,1303.58,1310.4,1317.33,1323.65,1330.04,1336.5,1343.02
131,JP046,Himeji,811.46,811.39,811.34,811.31,811.29,811.28,810.86,810.45,810.05,809.67,809.31,809.16,809.03,808.91,808.8
132,JP047,Toyohashi,778.7,781.52,784.36,787.23,790.11,793.01,793.61,794.22,794.84,795.46,796.1,797.91,799.73,801.56,803.41
133,JP048,Hamamatsu,666.02,669.08,672.15,675.23,678.33,681.44,680.68,679.92,679.17,678.41,677.65,678.83,680.01,681.18,682.37
134,JP050,Okayama,777.1,780.44,783.81,787.21,790.64,794.11,795.72,797.35,798.99,800.65,802.33,804.98,807.66,810.36,813.08
135,JP051,Kurashiki,1006.59,1022.95,1039.64,1056.67,1074.04,1080.21,1081.9,1083.6,1085.31,1087.03,1088.76,1097.47,1106.27,1115.16,1124.15
136,JP052,Fukuyama,797.59,796.9,796.22,795.55,794.9,794.26,793.25,792.27,791.3,790.36,789.44,788.72,788.0,787.3,786.62
137,JP053,Hiroshima,1144.09,1147.36,1150.66,1154.02,1157.43,1160.89,1163.74,1166.62,1169.56,1172.53,1175.54,1178.93,1182.37,1185.86,1189.39
138,JP054,Takamatsu,878.02,903.46,930.14,958.15,987.53,882.22,905.25,929.4,954.72,981.25,1009.06,1024.16,1039.66,1055.56,1071.88
139,JP055,Wakayama,1296.14,1290.46,1284.83,1279.26,1273.75,1268.29,1264.9,1261.55,1258.24,1254.97,1251.74,1247.54,1243.39,1239.29,1235.23
140,JP059,Tokushima,720.1,719.72,719.36,719.03,718.72,718.43,716.36,714.31,712.3,710.31,708.34,707.28,706.25,705.23,704.24
141,JP064,Kitakyushu,2146.08,2138.38,2130.74,2123.19,2115.7,2108.29,2101.29,2094.35,2087.48,2080.67,2073.93,2067.04,2060.21,2053.43,2046.71
142,JP065,Matsuyama,797.89,799.6,801.32,803.05,804.78,806.52,806.54,806.58,806.61,806.65,806.7,807.6,808.51,809.42,810.33
143,JP066,Fukuoka,2035.4,2050.83,2066.45,2082.26,2098.26,2114.45,2128.62,2142.99,2157.57,2172.34,2187.32,2203.54,2219.95,2236.57,2253.39
144,JP067,Kochi,510.63,510.55,510.47,510.4,510.34,510.29,508.06,505.85,503.66,501.49,499.34,498.26,497.19,496.14,495.09
145,JP071,Oita,576.36,577.61,578.87,580.14,581.42,582.71,584.66,586.62,588.61,590.61,592.63,594.32,596.04,597.76,599.5
146,JP074,Kumamoto,1155.55,1159.42,1163.33,1167.29,1171.3,1175.35,1179.36,1183.43,1187.57,1191.78,1196.05,1200.41,1204.83,1209.31,1213.85
147,JP075,Nagasaki,1411.53,1405.33,1399.2,1393.14,1387.14,1381.21,1375.6,1370.02,1364.48,1358.97,1353.49,1347.94,1342.44,1336.99,1331.58
148,JP077,Kagoshima,915.3,916.18,917.07,917.96,918.85,919.75,919.92,920.1,920.28,920.46,920.64,921.2,921.76,922.32,922.89
149,JP078,Naha,2566.7,2584.6,2602.62,2620.8,2639.12,2657.58,2672.8,2688.16,2703.68,2719.34,2735.16,2752.73,2770.43,2788.27,2806.25
150,JPN,Japan,339.8,340.78,341.16,341.66,341.84,342.06,342.06,342.06,341.84,341.37,342.82,342.13,341.39,340.79,340.22
151,KOR,Korea,472.63,476.14,478.8,481.19,483.0,483.99,486.34,488.61,492.14,494.49,496.78,500.49,502.75,504.92,506.97
152,KR004,Seoul Incheon,4320.1,4339.29,4363.79,4394.02,4430.46,4473.7,4524.43,4583.46,4651.78,4730.52,4821.06,4925.01,5044.31,5181.29,5338.72
153,KR015,Cheongju,1144.29,1151.64,1160.14,1169.86,1180.84,1193.16,1206.87,1222.07,1238.84,1257.27,1277.46,1299.52,1323.57,1349.75,1378.19
154,KR018,Daejeon,1427.2,1435.03,1444.16,1454.64,1466.54,1479.93,1494.91,1511.54,1529.95,1550.2,1572.43,1596.74,1623.28,1652.18,1683.57
