,METRO_ID,Metropolitan areas,VAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
63,CZ001,Prague,POP_DENS,424.45,428.1,431.84,435.68,439.62,443.66,447.81,452.09,456.5,461.03,465.72,470.57,475.59,480.81,486.22
64,CZ002,Brno,GREEN_AREA_PC,455.52,454.56,453.57,452.56,451.53,450.46,449.38,448.26,447.12,445.95,444.75,443.52,442.27,440.98,439.66
65,CZ002,Brno,POP_DENS,264.46,265.02,265.59,266.19,266.79,267.43,268.07,268.74,269.42,270.13,270.86,271.61,272.38,273.18,273.99
66,CZ003,Ostrava,GREEN_AREA_PC,486.16,486.95,487.73,488.51,489.27,490.03,490.78,491.52,492.25,492.97,493.69,494.39,495.09,495.77,496.45
67,CZ003,Ostrava,POP_DENS,615.12,614.12,613.13,612.16,611.21,610.26,609.33,608.41,607.51,606.62,605.74,604.88,604.03,603.19,602.37
68,CZE,Czech Republic,POP_DENS,133.01,132.87,132.09,132.05,132.16,132.28,132.69,133.17,134.39,135.52,136.03,136.37,136.02,136.17,136.12
69,DE001,Berlin,GREEN_AREA_PC,209.26,209.1,208.93,208.75,208.56,208.35,208.14,207.91,207.68,207.43,207.17,206.89,206.61,206.31,206.0
70,DE001,Berlin,POP_DENS,701.21,701.74,702.31,702.92,703.57,704.25,704.98,705.75,706.55,707.4,708.3,709.23,710.22,711.24,712.32
71,DE002,Hamburg,GREEN_AREA_PC,938.71,937.06,935.39,933.7,932.01,930.29,928.57,926.82,925.06,923.28,921.5,919.69,917.87,916.04,914.18
72,DE002,Hamburg,POP_DENS,508.7,509.6,510.51,511.43,512.36,513.31,514.26,515.23,516.21,517.2,518.21,519.22,520.25,521.3,522.35
73,DE003,Munich,GREEN_AREA_PC,623.21,616.98,610.8,604.66,598.56,592.5,586.49,580.51,574.58,568.69,562.84,557.03,551.27,545.54,539.85
74,DE003,Munich,POP_DENS,410.21,414.35,418.54,422.79,427.1,431.47,435.9,440.38,444.93,449.54,454.21,458.94,463.75,468.61,473.55
75,DE004,Cologne,GREEN_AREA_PC,73.24,73.04,72.83,72.63,72.42,72.21,72.01,71.8,71.59,71.38,71.17,70.96,70.75,70.54,70.32
76,DE004,Cologne,POP_DENS,938.04,940.65,943.29,945.95,948.64,951.35,954.09,956.86,959.65,962.46,965.3,968.17,971.06,973.98,976.93
77,DE005,Frankfurt,GREEN_AREA_PC,102.21,102.07,101.93,101.79,101.65,101.51,101.37,101.22,101.07,100.92,100.77,100.62,100.47,100.31,100.16
78,DE005,Frankfurt,POP_DENS,638.48,639.33,640.2,641.07,641.96,642.87,643.78,644.71,645.65,646.6,647.57,648.55,649.54,650.54,651.56
79,DE006,Essen,GREEN_AREA_PC,39.28,39.49,39.7,39.91,40.12,40.33,40.54,40.75,40.97,41.18,41.4,41.62,41.84,42.06,42.28
80,DE006,Essen,POP_DENS,2314.75,2302.62,2290.56,2278.56,2266.62,2254.75,2242.95,2231.21,2219.53,2207.91,2196.36,2184.86,2173.43,2162.07,2150.76
81,DE007,Stuttgart,GREEN_AREA_PC,179.71,179.49,179.26,179.03,178.79,178.56,178.32,178.08,177.84,177.6,177.35,177.1,176.85,176.6,176.34
82,DE007,Stuttgart,POP_DENS,970.54,971.76,973.0,974.25,975.52,976.81,978.11,979.43,980.76,982.1,983.47,984.85,986.25,987.67,989.1
83,DE008,Leipzig,GREEN_AREA_PC,353.33,354.43,355.5,356.55,357.57,358.57,359.54,360.48,361.39,362.28,363.14,363.98,364.79,365.57,366.33
