Company_name	Company_ID	Big3Share	Position	Revenue	Assets	Employees	MarketCap	Exchange	TypeEnt
AMERICAN PUBLIC EDUCATION, INC.	US010724376	19.85	1	327910.0	303896.0	2210.0	453752.0	NASDAQ National Market	Industrial company
INVENSENSE, INC.	US010789977	11.89	1	418395.0	622461.0	nan	565044.0	New York Stock Exchange (NYSE)	Industrial company
NATERA, INC.	US010894487	2.46	10	190355.0	265240.0	716.0	689396.0	NASDAQ National Market	Industrial company
MARATHON PATENT GROUP, INC.	US010949984	1.11	5	18978.0	47228.0	6.0	40112.0	NASDAQ National Market	Industrial company
ICAD, INC.	US020377419	5.949999999999999	2	41554.0	48640.0	108.0	94580.0	NASDAQ National Market	Industrial company
UNITIL CORP	US020381573	13.64	1	426800.0	1046400.0	500.0	563857.0	New York Stock Exchange (NYSE)	Industrial company
DATAWATCH CORP	US020405716	2.81	9	30221.0	58931.0	164.0	59987.0	NASDAQ National Market	Industrial company
LAKE SUNAPEE BANK GROUP	US020430695	0.83	11	56540.0	1518521.0	288.0	135700.0	NASDAQ National Market	Bank
BOTTOMLINE TECHNOLOGIES INC	US020433924	19.28	1	330889.0	688484.0	1500.0	1026008.0	NASDAQ National Market	Industrial company
EXACT SCIENCES CORP	US020478229	17.52	1	39437.0	364030.0	677.0	635647.0	NASDAQ National Market	Industrial company
PC CONNECTION INC	US020513618	5.08	7	2573973.0	639074.0	2155.0	609787.0	NASDAQ National Market	Industrial company
REGAL ENTERTAINMENT GROUP	US020556934	7.240000000000001	2	3127300.0	2601600.0	25915.0	2826736.0	New York Stock Exchange (NYSE)	Industrial company
NF ENERGY SAVING CORP	US020563302	0	103	6715.0	44354.0	nan	4644.0	NASDAQ National Market	Industrial company
ADVAXIS, INC.	US020563870	13.32	4	0.0	119606.0	48.0	308276.0	NASDAQ National Market	Industrial company
CONSOLIDATED COMMUNICATIONS HOLDINGS, INC.	US020636095	10.49	2	775737.0	2138526.0	1783.0	1245100.0	NASDAQ National Market	Industrial company
RPM INTERNATIONAL INC.	US020642224	19.68	1	4594550.0	4694240.0	12864.0	6710037.0	New York Stock Exchange (NYSE)	Industrial company
GLADSTONE COMMERCIAL CORP.	US020681276	6.9	1	83766.0	827184.0	66.0	381487.0	NASDAQ National Market	Financial company
SECOND SIGHT MEDICAL PRODUCTS, INC.	US020692322	2.9400000000000004	8	8950.0	28245.0	118.0	137663.0	NASDAQ National Market	Industrial company
NORTHSTAR REALTY FINANCE CORP.	US020732285	14.66	1	2044919.0	15404401.0	25.0	2409875.0	New York Stock Exchange (NYSE)	Financial company
SOLARCITY CORPORATION	US020781046	7.1499999999999995	4	399619.0	7287118.0	15273.0	2188400.0	NASDAQ National Market	Industrial company
UNION BANKSHARES, INC	US030283552	0.21	12	3038.0	54308.0	nan	149801.0	NASDAQ National Market	Bank
MERCHANTS BANCSHARES INC.	US030287342	6.93	1	60526.0	2021257.0	307.0	210887.0	NASDAQ National Market	Bank
CASELLA WASTE SYSTEMS INC	US030338873	10.54	3	546500.0	633669.0	1900.0	288548.0	NASDAQ National Market	Industrial company
CRYSTAL ROCK HOLDINGS INC	US030366218	0.16	9	73901.0	37645.0	nan	14951.0	NYSE MKT	Industrial company
COLLEGIUM PHARMACEUTICAL, INC.	US030416362	3.87	12	0.0	97718.0	46.0	390556.0	NASDAQ National Market	Industrial company
TOBIRA THERAPEUTICS, INC.	US030422069	2.35	12	0.0	65408.0	19.0	165954.0	NASDAQ National Market	Industrial company
XPO LOGISTICS, INC.	US030450326	10.5	5	7623200.0	12643200.0	89000.0	3229789.0	New York Stock Exchange (NYSE)	Industrial company
IMPERVA, INC.	US030460133	12.4	1	234298.0	397669.0	923.0	1205919.0	New York Stock Exchange (NYSE)	Industrial company
INFINITY PROPERTY CASUALTY CORPORATION	US030483872	19.73	1	1387866.0	2386752.0	nan	854449.0	NASDAQ National Market	Insurance company
VANDA PHARMACEUTICALS INC.	US030491827	14.07	1	109925.0	213050.0	118.0	457853.0	NASDAQ National Market	Industrial company
DCP MIDSTREAM PARTNERS, LP	US030567133	0	147	1898000.0	5477000.0	628.0	3902407.0	New York Stock Exchange (NYSE)	Industrial company
ALLIANCE HOLDINGS GP, L.P.	US030573898	0	124	2273311.0	2366516.0	nan	984148.0	NASDAQ National Market	Industrial company
HINGHAM INSTITUTION FOR SAVINGS	US041442480	4.26	2	52557.0	1768566.0	111.0	279529.0	NASDAQ National Market	Bank
TUTOR PERINI CORPORATION	US041717070	10.81	2	4920472.0	4036677.0	10626.0	1054573.0	New York Stock Exchange (NYSE)	Industrial company
L.S. STARRETT COMPANY (THE)	US041866480	0.41	18	241550.0	212272.0	1804.0	78972.0	New York Stock Exchange (NYSE)	Industrial company
PERKINELMER INC	US042052042	16.79	1	2262359.0	4166295.0	8000.0	5995584.0	New York Stock Exchange (NYSE)	Industrial company
UNIFIRST CORP	US042103460	18.290000000000003	3	1456605.0	1533237.0	12000.0	1771177.0	New York Stock Exchange (NYSE)	Industrial company
EVERSOURCE ENERGY	US042147929	20.71	1	7954827.0	30580309.0	7943.0	17449559.0	New York Stock Exchange (NYSE)	Industrial company
TJX COMPANIES INC	US042207613	16.37	1	30944938.0	11499482.0	216000.0	50768826.0	New York Stock Exchange (NYSE)	Industrial company
THERMO FISHER SCIENTIFIC INC.	US042209186	15.71	1	16965400.0	40834300.0	nan	59865017.0	New York Stock Exchange (NYSE)	Industrial company
AMERICAN SCIENCE & ENGINEERING INC	US042240991	21.78	1	126750.0	193108.0	311.0	225791.0	NASDAQ National Market	Industrial company
SEABOARD CORP	US042260388	3.22	6	5594000.0	4431000.0	10772.0	3657969.0	NYSE MKT	Industrial company
CABOT CORP	US042271897	18.73	1	2871000.0	3075000.0	4600.0	2841020.0	New York Stock Exchange (NYSE)	Industrial company
TERADYNE INC	US042272148	18.700000000000003	1	1639578.0	2548674.0	4100.0	4010753.0	New York Stock Exchange (NYSE)	Industrial company
MKS INSTRUMENTS INC	US042277512	18.7	1	813524.0	1273347.0	2181.0	2185655.0	NASDAQ National Market	Industrial company
TECHNICAL COMMUNICATIONS CORP	US042295040	0	105	5942.0	8016.0	nan	5059.0	NASDAQ National Market	Industrial company
SKYWORKS SOLUTIONS, INC.	US042302115	19.67	1	3258400.0	3719400.0	6700.0	12650836.0	NASDAQ National Market	Industrial company
