id	relid	year	active_year	code_status	type_of_violence	conflict_dset_id	conflict_new_id	conflict_name	dyad_dset_id	dyad_new_id	dyad_name	side_a_dset_id	side_a_new_id	side_a	side_b_dset_id	side_b_new_id	side_b	number_of_sources	source_article	source_office	source_date	source_headline	source_original	where_prec	where_coordinates	where_description	adm_1	adm_2	latitude	longitude	geom_wkt	priogrid_gid	country	country_id	region	event_clarity	date_prec	date_start	date_end	deaths_a	deaths_b	deaths_civilians	deaths_unknown	best_est	high_est	low_est
220379	COL-2003-1-237-26	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-06-24					4	Bolívar department	Bolivar province	Bolívar department		9	-74.333333	POINT (-74.333333 9.000000)	142772	Colombia	100	Americas	1	1	06/24/2003 00:00:00	06/24/2003 00:00:00	13	5	0	0	18	18	18
220380	COL-2003-3-1632-14	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de La Cristalina, La Guajira" http://rutasdelconflicto.com/interna.php?masacre=184					1	Palomino village	village of La Cristalina, in district of Palomino, Dibulla municipality, Guajira	La Guajira department	Dibulla municipality	11.144258	-73.333394	POINT (-73.333394 11.144258)	145654	Colombia	100	Americas	1	1	05/01/2003 00:00:00	05/01/2003 00:00:00	0	0	7	0	7	7	7
220381	COL-2003-1-237-10	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Reuters 2003-02-14				Officials	6	Colombia	Jungle region in southern Colombia			4	-72	POINT (-72.000000 4.000000)	135577	Colombia	100	Americas	1	1	02/14/2003 00:00:00	02/14/2003 00:00:00	1	0	1	0	2	2	2
220382	COL-2003-1-237-11	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Xinhua 2003-02-14				Police sources	1	Neiva town	In the southern city of Nieva.	Huila department	Neiva municipality	2.927299	-75.281885	POINT (-75.281885 2.927299)	133410	Colombia	100	Americas	1	1	02/14/2003 00:00:00	02/14/2003 00:00:00	9	0	6	0	15	15	15
220383	COL-2003-3-1632-15	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Pueblo Nuevo" http://rutasdelconflicto.com/interna.php?masacre=501					3	Ariguaní municipality	district Pueblo Nuevo in the municipality of Ariguaní, Magdalena	Magdalena department	Ariguaní municipality	9.89383	-74.13583	POINT (-74.135830 9.893830)	143492	Colombia	100	Americas	1	1	05/01/2003 00:00:00	05/01/2003 00:00:00	0	0	9	0	9	9	9
220384	COL-2004-1-237-58	2004	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Noche y Niebla 12/2				Official source	3	Jambaló municipality	Province: Cauca, Municipality: Jambalo	Cauca department	Jambaló municipality	2.85	-76.316667	POINT (-76.316667 2.850000)	133408	Colombia	100	Americas	1	1	02/12/2004 00:00:00	02/12/2004 00:00:00	1	0	0	0	1	1	1
220385	COL-2004-1-237-59	2004	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	EFE 12/2				The military	3	Purace municipality	In the southwestern province of Cauca near the Municipality of Purace.	Cauca department	Purace municipality	2.25	-76.416667	POINT (-76.416667 2.250000)	132688	Colombia	100	Americas	1	1	02/12/2004 00:00:00	02/12/2004 00:00:00	0	1	0	0	1	1	1
220386	COL-2003-3-1632-16	2003	True	Clear	3	1632	610	AUC - Civilians	1632	1077	AUC - Civilians	1632	771	AUC	9999	1	Civilians	-1	Rutas del Conflicto "Masacre de Puerto Nuevo" http://rutasdelconflicto.com/interna.php?masacre=563					1	Guachaca town	Puerto Nuevo hamlet in the village Guachaca in the rural area of ​​Santa Marta, Magdalena	Magdalena department	Santa Marta municipality	11.25301	-73.84082	POINT (-73.840820 11.253010)	145653	Colombia	100	Americas	1	1	05/08/2003 00:00:00	05/08/2003 00:00:00	0	0	9	0	9	9	9
220387	COL-2003-2-23-2	2003	True	Clear	2	2-23	4586	AUC - FARC	23	5196	AUC - FARC	1632	771	AUC	1604	743	FARC	-1	Reuters 2003-02-18				Officials	4	Arauca department	Arauca	Arauca department		6.666667	-71	POINT (-71.000000 6.666667)	139179	Colombia	100	Americas	1	1	02/18/2003 00:00:00	02/18/2003 00:00:00	0	0	0	29	29	29	29
220388	COL-2003-1-237-68	2003	True	Clear	1	1-92	289	Colombia:Government	237	623	Government of Colombia - FARC	100	17	Government of Colombia	1604	743	FARC	-1	Xinhua 2003-12-26				Military sources	3	Granada municipality	Municipality of Granada 150 km south of Bogotá	Meta department	Granada municipality	3.4859	-73.76213	POINT (-73.762130 3.485900)	134133	Colombia	100	Americas	1	1	12/26/2003 00:00:00	12/26/2003 00:00:00	1	0	0	0	1	1	1
