	Department	City	Tables	Total	Participation	Null	Yes	No
0	AMAZONAS	EL ENCANTO	2	223	30.01	2	170	51
1	AMAZONAS	LA CHORRERA	3	366	35.53	3	300	62
2	AMAZONAS	LA PEDRERA	3	216	21.42	1	189	25
3	AMAZONAS	LA VICTORIA	1	5	27.77	0	4	1
4	AMAZONAS	LETICIA	82	8990	25.98	84	4403	4463
5	AMAZONAS	MIRITI-PARANA	2	96	20.12	0	89	7
6	AMAZONAS	PUERTO ALEGRIA	1	59	22.77	1	52	5
7	AMAZONAS	PUERTO ARICA	1	119	29.38	0	97	22
8	AMAZONAS	PUERTO NARI¥O	10	1153	26.7	17	830	274
9	AMAZONAS	PUERTO SANTANDER	2	143	22.27	2	125	16
10	AMAZONAS	TARAPACA	3	344	26.38	4	265	68
11	ANTIOQUIA	ABEJORRAL	39	3647	23.87	52	1296	2105
12	ANTIOQUIA	ABRIAQUI	6	572	29.51	13	213	332
13	ANTIOQUIA	ALEJANDRIA	11	1735	37.9	22	966	696
14	ANTIOQUIA	AMAGA	53	6370	28.91	94	2084	4139
15	ANTIOQUIA	AMALFI	40	3818	22.55	72	1310	2304
16	ANTIOQUIA	ANDES	76	9093	26.09	93	3193	5729
17	ANTIOQUIA	ANGELOPOLIS	14	1589	27.98	23	553	1004
18	ANTIOQUIA	ANGOSTURA	23	1935	21.13	84	705	1089
19	ANTIOQUIA	ANORI	30	2984	26.77	40	1764	953
20	ANTIOQUIA	ANZA	14	1150	20.12	16	363	740
21	ANTIOQUIA	APARTADO	201	27961	31.34	478	14195	12936
22	ANTIOQUIA	ARBOLETES	52	5866	27.34	57	3691	1937
23	ANTIOQUIA	ARGELIA	19	2065	31.16	23	650	1351
24	ANTIOQUIA	ARMENIA	12	1026	21.18	26	301	676
25	ANTIOQUIA	BARBOSA	92	13430	34.84	277	4200	8666
26	ANTIOQUIA	BELLO	679	121850	38.26	1577	43642	76122
27	ANTIOQUIA	BELMIRA	14	1617	33.63	17	687	897
28	ANTIOQUIA	BETANIA	19	1609	19.21	22	466	1110
29	ANTIOQUIA	BETULIA	33	3023	22.59	49	1005	1919
30	ANTIOQUIA	BOLIVAR	60	5636	23.45	60	1644	3875
31	ANTIOQUIA	BRICE¥O	19	2078	33.68	45	1367	604
32	ANTIOQUIA	BURITICA	19	1406	20.58	20	474	890
33	ANTIOQUIA	CA¥ASGORDAS	33	4884	36.44	121	1911	2739
34	ANTIOQUIA	CACERES	48	4004	20.23	83	2506	1358
35	ANTIOQUIA	CAICEDO	15	1600	26.26	43	593	921
36	ANTIOQUIA	CALDAS	129	25961	42.85	397	9292	16149
37	ANTIOQUIA	CAMPAMENTO	15	1296	20.37	41	619	604
38	ANTIOQUIA	CARACOLI	14	1199	24.69	12	578	593
39	ANTIOQUIA	CARAMANTA	14	1417	27.08	26	568	790
40	ANTIOQUIA	CAREPA	98	11733	28.29	190	5327	6057
41	ANTIOQUIA	EL CARMEN DE VIBORAL	80	16750	50.65	272	5528	10787
42	ANTIOQUIA	CAROLINA	11	1150	28.17	23	464	641
43	ANTIOQUIA	CAUCASIA	162	20911	31.61	368	8801	11495
44	ANTIOQUIA	CHIGORODO	89	12392	27.66	187	6322	5745
45	ANTIOQUIA	CISNEROS	26	3017	26.38	63	1084	1837
46	ANTIOQUIA	COCORNA	34	4864	37.51	81	1647	3006
47	ANTIOQUIA	CONCEPCION	10	1553	35.22	27	572	931
48	ANTIOQUIA	CONCORDIA	38	3184	19.86	50	998	2081
49	ANTIOQUIA	COPACABANA	127	25279	40.73	369	9535	15052
50	ANTIOQUIA	DABEIBA	41	4858	28.6	99	2971	1622
51	ANTIOQUIA	DON MATIAS	39	5381	32.46	71	1371	3898
52	ANTIOQUIA	EBEJICO	29	2846	24.91	32	967	1788
53	ANTIOQUIA	EL BAGRE	85	7520	20.85	156	3167	4056
54	ANTIOQUIA	ENTRERRIOS	18	2680	33.68	30	868	1766
55	ANTIOQUIA	ENVIGADO	507	106988	46.11	1061	37800	67255
56	ANTIOQUIA	FREDONIA	46	4858	26.69	64	1703	3064
57	ANTIOQUIA	FRONTINO	46	4038	24.05	78	2148	1744
58	ANTIOQUIA	GIRALDO	10	1251	31.7	17	666	557
59	ANTIOQUIA	GIRARDOTA	111	17135	35.98	277	6088	10680
60	ANTIOQUIA	GOMEZ PLATA	20	2192	26.08	61	772	1328
61	ANTIOQUIA	GRANADA	24	3630	35.34	53	1382	2120
62	ANTIOQUIA	GUADALUPE	16	1388	24.54	47	714	587
63	ANTIOQUIA	GUARNE	77	14804	46.71	214	3870	10604
64	ANTIOQUIA	GUATAPE	15	3261	49.99	37	1232	1966
65	ANTIOQUIA	HELICONIA	16	1492	24.23	29	632	795
66	ANTIOQUIA	HISPANIA	13	1142	21.88	11	459	654
67	ANTIOQUIA	ITAGUI	527	96563	39.3	1344	35166	59627
68	ANTIOQUIA	ITUANGO	49	4157	23.88	116	2706	1196
69	ANTIOQUIA	JARDIN	28	4594	37.98	44	1620	2884
70	ANTIOQUIA	JERICO	27	3373	30.59	39	957	2341
71	ANTIOQUIA	LA CEJA	97	22800	51.46	325	6715	15589
72	ANTIOQUIA	LA ESTRELLA	108	18723	36.93	194	6725	11716
73	ANTIOQUIA	LA PINTADA	15	2459	37.32	31	1017	1389
74	ANTIOQUIA	LA UNION	38	7529	46.42	136	2551	4782
75	ANTIOQUIA	LIBORINA	24	2703	29.36	40	933	1674
76	ANTIOQUIA	MACEO	19	1899	25.43	26	777	1065
77	ANTIOQUIA	MARINILLA	76	17767	46.53	190	5481	11993
78	ANTIOQUIA	MEDELLIN	3346	694784	46.06	6754	253548	431173
79	ANTIOQUIA	MONTEBELLO	15	1827	30.23	35	953	776
80	ANTIOQUIA	MURINDO	9	1150	42.21	14	1073	44
81	ANTIOQUIA	MUTATA	33	3030	22.23	49	1846	1016
82	ANTIOQUIA	NARIÑO	25	2513	27.87	31	786	1626
83	ANTIOQUIA	NECHI	44	3834	21.08	57	1937	1799
84	ANTIOQUIA	NECOCLI	76	7475	23.0	155	4359	2860
85	ANTIOQUIA	OLAYA	7	740	27.21	7	273	449
86	ANTIOQUIA	PE¥OL	36	5415	34.25	55	2032	3265
87	ANTIOQUIA	PEQUE	18	2331	38.28	43	1632	608
88	ANTIOQUIA	PUEBLORRICO	17	1787	25.12	24	593	1138
89	ANTIOQUIA	PUERTO BERRIO	84	9028	26.48	116	2780	6046
90	ANTIOQUIA	PUERTO NARE	31	3974	32.56	55	2281	1600
91	ANTIOQUIA	PUERTO TRIUNFO	32	3902	30.05	42	1007	2823
92	ANTIOQUIA	REMEDIOS	40	3579	21.02	126	1186	2229
93	ANTIOQUIA	RETIRO	35	6951	46.03	58	2145	4703
94	ANTIOQUIA	RIONEGRO	214	47791	50.4	637	14361	32596
95	ANTIOQUIA	SABANALARGA	18	2364	33.52	41	778	1501
96	ANTIOQUIA	SABANETA	125	27182	45.59	285	9955	16903
97	ANTIOQUIA	SALGAR	33	2474	18.34	24	782	1621
98	ANTIOQUIA	SAN ANDRES	16	1701	32.81	65	706	864
99	ANTIOQUIA	SAN CARLOS	34	5242	37.59	95	2390	2697
100	ANTIOQUIA	SAN FRANCISCO	14	1637	26.66	26	660	901
101	ANTIOQUIA	SAN JERONIMO	29	3475	29.17	41	1260	2135
102	ANTIOQUIA	SAN JOSE DE LA MONTA¥A	8	1032	32.61	23	363	621
103	ANTIOQUIA	SAN JUAN DE URABA	42	4118	23.62	33	2677	1365
104	ANTIOQUIA	SAN LUIS	28	3644	33.9	36	890	2681
105	ANTIOQUIA	SAN PEDRO	45	7331	38.75	106	1841	5334
106	ANTIOQUIA	SAN PEDRO DE URABA	61	4146	16.42	62	2060	1982
107	ANTIOQUIA	SAN RAFAEL	29	4061	33.41	258	1457	2295
108	ANTIOQUIA	SAN ROQUE	35	4466	30.63	79	1786	2548
109	ANTIOQUIA	SAN VICENTE	42	6027	36.64	80	1642	4238
110	ANTIOQUIA	SANTA BARBARA	51	6063	27.46	107	2101	3788
111	ANTIOQUIA	SANTA ROSA DE OSOS	64	10280	39.82	279	2984	6927
112	ANTIOQUIA	SANTO DOMINGO	24	2929	31.91	107	1085	1681
113	ANTIOQUIA	SANTUARIO	62	12621	48.14	150	3329	9020
114	ANTIOQUIA	SEGOVIA	62	4684	17.89	68	1516	3073
115	ANTIOQUIA	SONSON	77	9293	34.16	266	2319	6550
116	ANTIOQUIA	SOPETRAN	30	4259	35.3	60	1875	2266
117	ANTIOQUIA	TAMESIS	35	4579	31.63	52	1579	2889
118	ANTIOQUIA	TARAZA	62	5988	22.86	110	3477	2311
119	ANTIOQUIA	TARSO	14	1230	20.9	14	503	691
120	ANTIOQUIA	TITIRIBI	22	2180	24.98	39	742	1362
121	ANTIOQUIA	TOLEDO	11	1429	32.6	63	798	507
122	ANTIOQUIA	TURBO	196	20913	24.64	371	11378	8887
123	ANTIOQUIA	URAMITA	16	1825	28.73	37	951	813
124	ANTIOQUIA	URRAO	55	5864	26.22	138	2644	2959
125	ANTIOQUIA	VALDIVIA	29	2261	18.75	57	1072	1069
126	ANTIOQUIA	VALPARAISO	15	1534	27.07	22	597	893
127	ANTIOQUIA	VEGACHI	24	1837	18.07	22	503	1268
128	ANTIOQUIA	VENECIA	28	2916	26.56	26	1097	1767
129	ANTIOQUIA	VIGIA DEL FUERTE	17	2187	41.69	13	2079	86
130	ANTIOQUIA	YALI	14	1160	19.31	6	437	692
131	ANTIOQUIA	YARUMAL	74	9483	28.65	187	2941	6091
132	ANTIOQUIA	YOLOMBO	39	3512	22.11	57	1344	2055
133	ANTIOQUIA	YONDO	31	5376	44.13	128	2376	2810
134	ANTIOQUIA	ZARAGOZA	44	3545	18.71	88	1672	1726
135	ARAUCA	ARAUQUITA	65	10113	37.07	234	7440	2289
136	ARAUCA	CRAVO NORTE	9	1103	30.94	38	424	630
137	ARAUCA	FORTUL	26	3646	33.41	187	2338	1063
138	ARAUCA	PUERTO RONDON	14	1131	31.09	19	428	666
139	ARAUCA	SARAVENA	73	10091	31.83	335	4457	5168
140	ARAUCA	TAME	80	11068	35.01	263	5407	5267
141	ATLANTICO	BARANOA	108	12549	27.38	58	8936	3416
142	ATLANTICO	BARRANQUILLA	2350	256375	24.9	1111	146039	108178
143	ATLANTICO	CAMPO DE LA CRUZ	45	2812	14.56	14	1728	1057
144	ATLANTICO	CANDELARIA	27	3034	26.86	25	2078	906
145	ATLANTICO	GALAPA	82	8464	24.45	74	5186	3176
146	ATLANTICO	JUAN DE ACOSTA	41	3500	20.37	19	2389	1082
147	ATLANTICO	LURUACO	56	3564	15.44	25	2265	1246
148	ATLANTICO	MALAMBO	164	15857	21.15	94	8810	6908
149	ATLANTICO	MANATI	31	1995	14.87	10	1660	317
150	ATLANTICO	PALMAR DE VARELA	45	4265	21.72	22	2871	1117
151	ATLANTICO	PIOJO	14	1537	28.41	15	1118	391
152	ATLANTICO	POLONUEVO	29	3437	28.06	29	2746	639
153	ATLANTICO	PONEDERA	42	3909	21.99	20	2445	1421
154	ATLANTICO	PUERTO COLOMBIA	74	9330	29.63	38	5701	3565
155	ATLANTICO	REPELON	44	4213	22.86	24	3325	829
156	ATLANTICO	SABANAGRANDE	54	5132	22.52	29	3251	1835
157	ATLANTICO	SABANALARGA	151	18077	27.85	142	12851	4663
158	ATLANTICO	SANTA LUCIA	24	1969	19.83	18	1467	481
159	ATLANTICO	SANTO TOMAS	62	5743	22.2	24	4088	1614
160	ATLANTICO	SOLEDAD	606	57785	21.86	307	33765	23487
161	ATLANTICO	SUAN	22	2428	25.41	3	1837	585
162	ATLANTICO	TUBARA	24	2819	29.73	16	1888	898
163	ATLANTICO	USIACURI	17	2195	29.27	15	1677	489
164	SANTAFE DE BOGOTA D.C	SANTAFE DE BOGOTA D.C.	12078	2570359	46.33	25213	1423612	1114933
165	BOLIVAR	ACHI	44	6329	40.18	87	4307	1874
166	BOLIVAR	ALTOS DEL ROSARIO	18	1424	21.35	15	786	601
167	BOLIVAR	ARENAL	14	1950	34.66	23	1690	229
168	BOLIVAR	ARJONA	113	9785	19.15	63	6030	3642
169	BOLIVAR	ARROYOHONDO	21	1516	20.59	7	1118	363
170	BOLIVAR	BARRANCO DE LOBA	30	2830	25.56	22	1465	1284
171	BOLIVAR	CALAMAR	44	3715	21.02	37	2140	1490
172	BOLIVAR	CANTAGALLO	15	2671	43.95	44	1878	732
173	BOLIVAR	CARTAGENA	1654	147441	20.12	518	81500	64735
174	BOLIVAR	CICUCO	24	2988	31.97	21	2082	856
175	BOLIVAR	CLEMENCIA	24	1772	17.19	17	1146	590
176	BOLIVAR	CORDOBA	35	4722	36.17	43	3612	1001
177	BOLIVAR	EL CARMEN DE BOLIVAR	129	15922	29.8	216	8287	7290
178	BOLIVAR	EL GUAMO	19	2017	27.69	11	1578	405
179	BOLIVAR	EL PE¥ON	17	1519	26.09	15	911	574
180	BOLIVAR	HATILLO DE LOBA	26	2648	26.88	25	1322	1285
181	BOLIVAR	MAGANGUE	227	26911	28.76	261	16478	9966
182	BOLIVAR	MAHATES	48	4121	21.21	32	2819	1222
183	BOLIVAR	MARGARITA	26	2326	26.38	13	1361	919
184	BOLIVAR	MARIA LA BAJA	92	8940	23.65	73	7009	1761
185	BOLIVAR	MOMPOS	92	8361	23.93	68	5198	3036
186	BOLIVAR	MONTECRISTO	25	2099	25.11	17	1652	395
187	BOLIVAR	MORALES	29	4215	38.87	39	1936	2206
188	BOLIVAR	NARIÑO	11	1169	31.61	14	969	177
189	BOLIVAR	PINILLOS	50	4948	30.53	41	2973	1885
190	BOLIVAR	REGIDOR	13	1437	31.99	18	1092	323
191	BOLIVAR	RIO VIEJO	15	2177	37.05	30	1488	639
192	BOLIVAR	SAN CRISTOBAL	16	1893	29.29	8	1630	249
193	BOLIVAR	SAN ESTANISLAO	33	2804	20.02	19	1900	869
194	BOLIVAR	SAN FERNANDO	25	2409	30.35	15	1949	428
195	BOLIVAR	SAN JACINTO	51	6348	31.4	62	3736	2477
196	BOLIVAR	SAN JACINTO DEL CAUCA	19	2039	29.94	18	1389	612
197	BOLIVAR	SAN JUAN NEPOMUCENO	72	8618	28.58	111	5134	3287
198	BOLIVAR	SAN MARTIN DE LOBA	27	2841	26.49	22	1943	856
199	BOLIVAR	SAN PABLO	45	5958	34.47	94	2802	2940
200	BOLIVAR	SANTA CATALINA	29	2448	21.16	119	1759	553
201	BOLIVAR	SANTA ROSA	30	1771	13.45	24	1129	609
202	BOLIVAR	SANTA ROSA DEL SUR	50	7238	37.8	112	2648	4421
203	BOLIVAR	SIMITI	35	3652	30.55	73	1753	1783
204	BOLIVAR	SOPLAVIENTO	18	2242	28.06	20	1888	324
205	BOLIVAR	TALAIGUA NUEVO	24	2968	33.49	16	1870	1045
206	BOLIVAR	TIQUISIO	35	3108	24.73	22	1686	1366
207	BOLIVAR	TURBACO	125	9954	16.92	41	5927	3957
208	BOLIVAR	TURBANA	32	2543	18.46	17	1728	781
209	BOLIVAR	VILLANUEVA	35	1974	13.14	14	1181	763
210	BOLIVAR	ZAMBRANO	21	3727	42.86	46	3140	507
211	BOYACA	ALMEIDA	5	693	36.32	11	348	327
212	BOYACA	AQUITANIA	36	4299	34.81	65	1208	2985
213	BOYACA	ARCABUCO	11	1718	37.59	54	773	882
214	BOYACA	BELEN	16	2602	38.55	81	1150	1344
215	BOYACA	BERBEO	4	588	40.13	15	387	181
216	BOYACA	BETEITIVA	5	685	35.77	19	407	252
217	BOYACA	BOAVITA	14	1866	36.14	40	798	1002
218	BOYACA	BRICE¥O	5	772	36.79	7	471	282
219	BOYACA	BUENAVISTA	13	1460	31.92	29	616	790
220	BOYACA	BUSBANZA	2	370	46.59	7	174	183
221	BOYACA	CALDAS	9	1139	34.74	24	651	453
222	BOYACA	CAMPOHERMOSO	7	977	38.95	23	507	432
223	BOYACA	CERINZA	8	1628	46.75	54	961	595
224	BOYACA	CHINAVITA	8	942	30.08	17	421	497
225	BOYACA	CHIQUINQUIRA	98	17119	41.86	303	8110	8619
226	BOYACA	CHIQUIZA	10	912	21.06	27	537	330
227	BOYACA	CHISCAS	10	1405	39.92	40	672	658
228	BOYACA	CHITA	19	2319	36.62	75	861	1294
229	BOYACA	CHITARAQUE	14	1654	30.37	19	644	962
230	BOYACA	CHIVATA	6	930	36.58	7	477	439
231	BOYACA	CHIVOR	5	656	37.08	8	260	378
232	BOYACA	CIENEGA	9	1233	31.84	16	543	655
233	BOYACA	COMBITA	22	3653	42.55	86	2081	1452
234	BOYACA	COPER	10	1332	40.63	19	779	521
235	BOYACA	CORRALES	6	955	42.86	22	408	511
236	BOYACA	COVARACHIA	9	1080	34.47	16	394	626
237	BOYACA	CUBARA	16	1469	26.78	68	781	597
238	BOYACA	CUCAITA	8	1264	39.67	30	683	543
239	BOYACA	CUITIVA	5	653	35.27	19	269	363
240	BOYACA	DUITAMA	189	41211	49.44	770	19535	20787
241	BOYACA	EL COCUY	10	1282	34.49	48	374	830
242	BOYACA	EL ESPINO	6	997	43.32	20	339	627
243	BOYACA	FIRAVITOBA	14	2129	37.48	37	1317	758
244	BOYACA	FLORESTA	7	1354	43.98	20	527	799
245	BOYACA	GACHANTIVA	7	1342	44.43	24	621	678
246	BOYACA	GAMEZA	10	1491	36.76	23	621	825
247	BOYACA	GARAGOA	29	5174	43.68	119	2534	2485
248	BOYACA	GUACAMAYAS	4	631	38.1	19	122	479
249	BOYACA	GUATEQUE	22	3421	38.2	80	1718	1599
250	BOYACA	GUAYATA	9	1530	39.75	22	861	633
251	BOYACA	GUICAN	10	1204	39.69	42	556	592
252	BOYACA	IZA	6	857	38.53	13	367	465
253	BOYACA	JENESANO	13	1673	30.61	33	1031	584
254	BOYACA	JERICO	9	974	30.26	23	359	570
255	BOYACA	LA CAPILLA	6	1072	41.61	28	525	493
256	BOYACA	LA UVITA	8	933	36.77	19	287	611
257	BOYACA	LA VICTORIA	5	573	37.87	9	417	136
258	BOYACA	LABRANZAGRANDE	7	1003	36.84	17	444	529
259	BOYACA	MACANAL	9	1235	34.27	24	464	728
260	BOYACA	MARIPI	17	1871	29.83	25	1371	459
261	BOYACA	MIRAFLORES	18	3688	48.73	81	2330	1233
262	BOYACA	MONGUA	10	1686	42.11	25	397	1258
263	BOYACA	MONGUI	9	1434	39.36	29	530	870
264	BOYACA	MONIQUIRA	42	6492	37.19	162	3257	3016
265	BOYACA	MOTAVITA	12	1846	37.38	41	955	836
266	BOYACA	MUZO	17	2420	33.63	55	858	1470
267	BOYACA	NOBSA	27	5741	49.72	86	2835	2809
268	BOYACA	NUEVO COLON	11	1794	38.93	46	1107	624
269	BOYACA	OICATA	6	1135	47.44	30	605	492
270	BOYACA	OTANCHE	22	2369	36.98	28	1021	1297
271	BOYACA	PACHAVITA	5	779	38.93	15	370	374
272	BOYACA	PAEZ	7	1228	52.52	43	558	613
273	BOYACA	PAIPA	59	11312	46.09	200	6187	4866
274	BOYACA	PAJARITO	5	650	37.94	9	234	399
275	BOYACA	PANQUEBA	4	649	40.43	15	285	335
276	BOYACA	PAUNA	17	2401	35.77	41	1521	802
277	BOYACA	PAYA	5	737	52.41	26	320	383
278	BOYACA	PAZ DE RIO	11	1741	39.81	38	1119	566
279	BOYACA	PESCA	16	1819	28.34	33	710	1061
280	BOYACA	PISBA	3	463	45.34	3	195	256
281	BOYACA	PUERTO BOYACA	88	14347	40.72	339	4270	9611
282	BOYACA	QUIPAMA	15	1768	35.87	32	637	1066
283	BOYACA	RAMIRIQUI	21	2789	32.42	34	1466	1267
284	BOYACA	RAQUIRA	12	1730	37.85	44	815	851
285	BOYACA	RONDON	7	929	40.69	17	469	426
286	BOYACA	SABOYA	24	3664	38.34	112	2246	1250
287	BOYACA	SACHICA	8	1350	40.66	13	702	624
288	BOYACA	SAMACA	31	4849	36.17	130	2343	2340
289	BOYACA	SAN EDUARDO	4	711	48.59	22	434	245
290	BOYACA	SAN JOSE DE PARE	14	1838	34.71	20	946	844
291	BOYACA	SAN LUIS DE GACENO	14	1779	39.63	22	628	1111
292	BOYACA	SAN MATEO	9	1147	31.54	30	368	720
293	BOYACA	SAN MIGUEL DE SEMA	7	1101	39.89	21	513	550
294	BOYACA	SAN PABLO DE BORBUR	16	1890	32.53	29	584	1246
295	BOYACA	SANTA MARIA	9	1137	34.36	30	433	656
296	BOYACA	SANTA ROSA DE VITERBO	20	3726	46.31	72	1553	2073
297	BOYACA	SANTA SOFIA	7	1084	35.33	21	648	399
298	BOYACA	SANTANA	16	2198	32.17	34	1106	1034
299	BOYACA	SATIVANORTE	7	773	32.23	23	373	362
300	BOYACA	SATIVASUR	3	377	30.72	4	197	174
301	BOYACA	SIACHOQUE	15	2310	36.92	54	778	1453
302	BOYACA	SOATA	17	3543	47.56	56	1461	1989
303	BOYACA	SOCHA	16	2395	38.93	64	1138	1160
304	BOYACA	SOCOTA	17	2104	35.52	60	791	1214
305	BOYACA	SOGAMOSO	198	41974	46.92	700	20261	20865
306	BOYACA	SOMONDOCO	7	895	32.2	14	529	344
307	BOYACA	SORA	6	1319	52.17	22	686	459
308	BOYACA	SORACA	12	2273	43.46	24	740	1489
309	BOYACA	SOTAQUIRA	13	2070	38.24	39	1039	978
310	BOYACA	SUSACON	8	1166	45.19	36	701	410
311	BOYACA	SUTAMARCHAN	12	2119	40.25	38	1132	931
312	BOYACA	SUTATENZA	9	1318	35.79	30	612	662
313	BOYACA	TASCO	12	1598	32.04	37	913	641
314	BOYACA	TENZA	9	1663	46.77	26	1028	592
315	BOYACA	TIBANA	19	2123	28.68	57	1312	740
316	BOYACA	TIBASOSA	19	3615	42.97	75	1842	1685
317	BOYACA	TINJACA	6	1162	45.78	20	632	505
318	BOYACA	TIPACOQUE	9	1136	33.88	29	557	520
319	BOYACA	TOCA	16	2344	33.5	40	1107	1168
320	BOYACA	TOGUI	10	967	22.57	22	516	410
321	BOYACA	TOPAGA	8	1370	46.85	19	552	789
322	BOYACA	TOTA	11	943	22.97	25	318	590
323	BOYACA	TUNJA	258	59038	50.64	1003	32780	25112
324	BOYACA	TUNUNGUA	3	655	49.84	9	461	181
325	BOYACA	TURMEQUE	13	1786	31.31	41	1161	568
326	BOYACA	TUTA	18	3113	43.14	57	1536	1497
327	BOYACA	TUTAZA	5	949	51.54	29	492	412
328	BOYACA	UMBITA	14	2281	39.22	47	980	1224
329	BOYACA	VENTAQUEMADA	25	3354	30.73	81	1566	1689
330	BOYACA	VILLA DE LEYVA	24	4877	47.95	66	2479	2307
331	BOYACA	VIRACACHA	6	822	32.19	16	343	452
332	BOYACA	ZETAQUIRA	9	1410	36.39	15	910	473
333	CALDAS	AGUADAS	47	7035	37.31	174	1961	4766
334	CALDAS	ANSERMA	72	11209	40.18	270	3356	7430
335	CALDAS	ARANZAZU	30	4191	36.31	123	1573	2409
336	CALDAS	BELALCAZAR	27	3890	38.44	52	1514	2105
337	CALDAS	CHINCHINA	92	17205	39.31	315	6185	10543
338	CALDAS	FILADELFIA	24	3281	35.11	62	1365	1783
339	CALDAS	LA DORADA	131	21133	36.6	545	6908	13558
340	CALDAS	LA MERCED	17	2067	36.64	50	866	1108
341	CALDAS	MANIZALES	738	154340	47.76	2505	74140	76961
342	CALDAS	MANZANARES	41	5092	32.92	91	1773	3146
343	CALDAS	MARMATO	18	1711	25.01	41	514	1133
344	CALDAS	MARQUETALIA	28	4073	35.58	93	1452	2427
345	CALDAS	MARULANDA	8	831	31.26	32	387	391
346	CALDAS	NEIRA	44	6743	34.92	168	2283	4191
347	CALDAS	NORCASIA	14	2172	37.03	51	906	1179
348	CALDAS	PACORA	32	4413	36.57	76	1548	2727
349	CALDAS	PALESTINA	35	4465	30.26	51	1867	2513
350	CALDAS	PENSILVANIA	43	6228	37.21	191	1880	3959
351	CALDAS	RIOSUCIO	90	15076	40.06	399	6070	8402
352	CALDAS	RISARALDA	27	3064	28.47	49	959	2021
353	CALDAS	SALAMINA	38	5376	34.32	86	2096	3021
354	CALDAS	SAMANA	42	6692	41.33	209	2814	3513
355	CALDAS	SAN JOSE	12	1491	30.31	30	623	817
356	CALDAS	SUPIA	49	7883	37.08	349	2408	4985
357	CALDAS	VICTORIA	21	3079	37.26	51	1249	1735
358	CALDAS	VILLAMARIA	84	17736	46.74	330	7470	9806
359	CALDAS	VITERBO	33	5204	40.53	56	1373	3737
360	CAQUETA	ALBANIA	9	1430	36.45	22	445	842
361	CAQUETA	BELEN DE LOS ANDAQUIES	18	2600	34.33	59	1001	1504
362	CAQUETA	CARTAGENA DEL CHAIRA	43	4927	26.2	81	3530	1256
363	CAQUETA	CURILLO	19	1871	24.6	55	729	1052
364	CAQUETA	EL DONCELLO	38	4230	27.18	89	1593	2511
365	CAQUETA	EL PAUJIL	28	2683	22.61	52	1157	1439
366	CAQUETA	FLORENCIA	263	39004	33.65	421	14803	23593
367	CAQUETA	LA MONTA¥ITA	26	3136	29.86	23	2295	797
368	CAQUETA	MILAN	17	1369	19.95	20	750	590
369	CAQUETA	MORELIA	9	1143	31.89	16	387	731
370	CAQUETA	PUERTO RICO	45	5470	29.09	104	2643	2645
371	CAQUETA	SAN JOSE DEL FRAGUA	24	2894	32.6	55	1116	1699
372	CAQUETA	SAN VICENTE DEL CAGUAN	80	9786	31.04	111	6034	3554
373	CAQUETA	SOLANO	21	2004	25.84	20	1506	460
374	CAQUETA	SOLITA	13	1332	23.18	26	484	804
375	CAQUETA	VALPARAISO	15	1611	26.03	60	724	805
376	CASANARE	AGUAZUL	67	14484	54.43	599	4123	9666
377	CASANARE	CHAMEZA	4	968	62.41	25	663	271
378	CASANARE	HATO COROZAL	28	2825	40.38	61	591	2133
379	CASANARE	LA SALINA	2	458	60.1	11	391	51
380	CASANARE	MANI	30	4850	48.13	86	1459	3265
381	CASANARE	MONTERREY	29	5762	51.89	87	1639	3998
382	CASANARE	NUNCHIA	23	2959	49.12	67	579	2272
383	CASANARE	OROCUE	22	3073	40.4	61	1182	1800
384	CASANARE	PAZ DE ARIPORO	56	9932	43.13	210	2243	7379
385	CASANARE	PORE	16	3471	52.41	91	662	2684
386	CASANARE	RECETOR	5	705	55.95	43	337	305
387	CASANARE	SABANALARGA	7	1387	50.29	30	680	664
388	CASANARE	SACAMA	4	751	48.86	77	563	97
389	CASANARE	SAN LUIS DE PALENQUE	18	2616	44.44	52	548	1988
390	CASANARE	TAMARA	13	1965	45.43	42	528	1350
391	CASANARE	TAURAMENA	38	8445	53.61	139	2209	6037
392	CASANARE	TRINIDAD	28	3830	41.58	87	735	2966
393	CASANARE	VILLANUEVA	45	8282	42.43	173	2425	5625
394	CASANARE	YOPAL	242	52151	50.84	858	14561	36503
395	CAUCA	ALMAGUER	33	3698	29.55	169	2874	570
396	CAUCA	ARGELIA	49	6830	38.4	175	5807	751
397	CAUCA	BALBOA	41	5389	34.34	126	4425	731
398	CAUCA	BOLIVAR	111	8455	27.22	286	5234	2772
399	CAUCA	BUENOS AIRES	42	6698	43.05	188	4594	1773
400	CAUCA	CAJIBIO	58	7230	31.01	138	4922	2002
401	CAUCA	CALDONO	51	8943	43.35	267	6792	1715
402	CAUCA	CALOTO	50	8294	46.89	166	5875	2183
403	CAUCA	CORINTO	44	8489	48.66	187	5669	2520
404	CAUCA	EL TAMBO	109	11938	34.67	359	6595	4616
405	CAUCA	FLORENCIA	11	2151	47.0	64	1530	520
406	CAUCA	ARIGUAINI	34	6090	49.67	202	4160	1663
407	CAUCA	GUAPI	57	6172	32.17	78	5596	415
408	CAUCA	INZA	46	4649	27.94	74	3318	1177
409	CAUCA	JAMBALO	21	3945	48.87	89	3270	520
410	CAUCA	LA SIERRA	22	2955	33.46	63	1714	1109
411	CAUCA	LA VEGA	44	5264	34.77	128	3840	1121
412	CAUCA	LOPEZ	47	4282	34.52	12	3980	265
