Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	VAR	Dollars_th
STATE STREET CORPORATION	US042456637	10.55	1	New York Stock Exchange (NYSE)	Bank	Revenue	10235000.0
URSTADT BIDDLE PROPERTIES INC	US042458042	18.77	3	New York Stock Exchange (NYSE)	Financial company	Revenue	115312.0
BOSTON PROPERTIES INC	US042473675	25.9	1	New York Stock Exchange (NYSE)	Financial company	Revenue	2490821.0
CENTURY BANCORP, INC.	US042498617	5.51	2	NASDAQ National Market	Bank	Revenue	85952.0
KLA TENCOR CORP	US042564110	18.97	1	NASDAQ National Market	Industrial company	Revenue	2814049.0
XCERRA CORPORATION	US042594045	12.06	1	NASDAQ National Market	Industrial company	Revenue	397978.0
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP	US042619298	0.0	109	NYSE MKT	Financial company	Revenue	45481.0
DESTINATION XL GROUP, INC.	US042623104	5.6800000000000015	10	NASDAQ National Market	Industrial company	Revenue	442221.0
KEY ENERGY SERVICES INC	US042648081	9.04	3	New York Stock Exchange (NYSE)	Industrial company	Revenue	792326.0
EMC CORP	US042680009	14.99	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	24704000.0
WORLD WRESTLING ENTERTAINMENT, INC.	US042693383	7.79	4	New York Stock Exchange (NYSE)	Industrial company	Revenue	658768.0
BOSTON SCIENTIFIC CORP	US042695240	18.130000000000006	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	7477000.0
COGNEX CORP	US042713778	15.92	1	NASDAQ National Market	Industrial company	Revenue	450557.0
EATON VANCE CORP	US042718215	23.77	1	New York Stock Exchange (NYSE)	Financial company	Revenue	1403563.0
PANERA BREAD CO	US042723701	16.82	1	NASDAQ National Market	Industrial company	Revenue	2681580.0
IMMUNOGEN INC	US042726691	16.939999999999998	1	NASDAQ National Market	Industrial company	Revenue	85541.0
REPLIGEN CORP	US042729386	17.86	1	NASDAQ National Market	Industrial company	Revenue	83537.0
CONCURRENT COMPUTER CORP	US042735766	10.37	1	NASDAQ National Market	Industrial company	Revenue	64459.0
ASPEN TECHNOLOGY INC	US042739697	17.31	1	NASDAQ National Market	Industrial company	Revenue	440401.0
MERCURY SYSTEMS INC	US042741391	18.01	1	NASDAQ National Market	Industrial company	Revenue	234847.0
AMAG PHARMACEUTICALS, INC.	US042742593	18.43	1	NASDAQ National Market	Industrial company	Revenue	418276.0
VICOR CORP	US042742817	10.62	2	NASDAQ National Market	Industrial company	Revenue	220194.0
ABIOMED INC	US042743260	18.25	1	NASDAQ National Market	Industrial company	Revenue	230311.0
PROGRESS SOFTWARE CORP	US042746201	1.96	9	NASDAQ National Market	Industrial company	Revenue	377554.0
PAREXEL INTERNATIONAL CORP	US042776269	20.73	1	NASDAQ National Market	Industrial company	Revenue	2330274.0
PEGASYSTEMS INC	US042787865	7.280000000000001	2	NASDAQ National Market	Industrial company	Revenue	682695.0
CCA INDUSTRIES, INC.	US042795439	0.71	10	NYSE MKT	Industrial company	Revenue	24790.0
FORRESTER RESEARCH INC	US042797789	11.67	2	NASDAQ National Market	Industrial company	Revenue	313726.0
LEMAITRE VASCULAR, INC.	US042825458	6.99	2	NASDAQ National Market	Industrial company	Revenue	78352.0
CPS TECHNOLOGIES CORP.	US042832409	0.0	105	NASDAQ National Market	Industrial company	Revenue	21762.0
KOPIN CORP	US042833935	14.96	1	NASDAQ National Market	Industrial company	Revenue	32054.0
NETSCOUT SYSTEMS INC	US042837575	18.67	1	NASDAQ National Market	Industrial company	Revenue	955419.0
PTC INC.	US042866152	17.27	1	NASDAQ National Market	Industrial company	Revenue	1255242.0
INDEPENDENT BANK CORP	US042870273	19.130000000000006	1	NASDAQ National Market	Bank	Revenue	350000.0
HAEMONETICS CORP	US042882273	18.98	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	910373.0
STAPLES INC	US042896127	21.89	1	NASDAQ National Market	Industrial company	Revenue	21059000.0
HOLOGIC INC	US042902449	16.77	1	NASDAQ National Market	Industrial company	Revenue	2705000.0
AWARE INC	US042911026	5.0600000000000005	7	NASDAQ National Market	Industrial company	Revenue	19621.0
WATTS WATER TECHNOLOGIES, INC.	US042916536	12.509999999999998	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	1467700.0
MODUSLINK GLOBAL SOLUTIONS, INC.	US042921333	9.170000000000002	2	NASDAQ National Market	Financial company	Revenue	561673.0
CBS CORPORATION	US042949533	14.87	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	13886000.0
AMERICAN SUPERCONDUCTOR CORP	US042959321	1.6	5	NASDAQ National Market	Industrial company	Revenue	70530.0
BOSTON PRIVATE FINANCIAL HOLDINGS INC	US042976299	19.2	1	NASDAQ National Market	Bank	Revenue	346939.0
AVID TECHNOLOGY INC	US042977748	9.9	2	NASDAQ National Market	Industrial company	Revenue	505595.0
SEVCON INC	US042985631	0.0	113	NASDAQ National Market	Industrial company	Revenue	41142.0
CLEAN HARBORS INC	US042997780	14.499999999999998	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	3275137.0
VERTEX PHARMACEUTICALS INCORPORATED	US043039129	17.400000000000002	1	NASDAQ National Market	Industrial company	Revenue	1032336.0
BROOKS AUTOMATION, INC.	US043040660	18.55	1	NASDAQ National Market	Industrial company	Revenue	552708.0
IDERA PHARMACEUTICALS, INC.	US043072298	7.89	2	NASDAQ National Market	Industrial company	Revenue	249.0
CABOT OIL & GAS CORPORATION	US043072771	20.15	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	1357150.0
GARTNER INC	US043099750	19.49	1	New York Stock Exchange (NYSE)	Industrial company	Revenue	2163056.0
AMTRUST FINANCIAL SERVICES, INC	US043106389	6.21	8	NASDAQ National Market	Insurance company	Revenue	6799537.0
BRUKER CORPORATION	US043110160	8.55	5	NASDAQ National Market	Industrial company	Revenue	1623800.0
CYNOSURE, INC.	US043125110	16.37	1	NASDAQ National Market	Industrial company	Revenue	339462.0
ANIKA THERAPEUTICS INC	US043145961	16.23	1	NASDAQ National Market	Industrial company	Revenue	92999.0
METABOLIX, INC.	US043158289	0.98	7	NASDAQ National Market	Industrial company	Revenue	2594.0
SEACHANGE INTERNATIONAL INC	US043197974	7.25	4	NASDAQ National Market	Industrial company	Revenue	106992.0
ENANTA PHARMACEUTICALS, INC.	US043205099	15.21	1	NASDAQ National Market	Industrial company	Revenue	160880.0
MERRIMACK PHARMACEUTICALS, INC.	US043210530	19.48	1	NASDAQ National Market	Industrial company	Revenue	89258.0
AFFILIATED MANAGERS GROUP INC	US043218510	18.81	1	New York Stock Exchange (NYSE)	Bank	Revenue	3000000.0
ANSYS INC	US043219960	18.94	1	NASDAQ National Market	Industrial company	Revenue	942753.0
ARQULE INC	US043221586	7.729999999999999	4	NASDAQ National Market	Industrial company	Revenue	11239.0
EXELIXIS INC	US043257395	17.72	1	NASDAQ National Market	Industrial company	Revenue	37172.0
HOSPITALITY PROPERTIES TRUST	US043262075	26.92	1	New York Stock Exchange (NYSE)	Financial company	Revenue	1921904.0
HANOVER INSURANCE GROUP INC	US043263626	17.93	1	New York Stock Exchange (NYSE)	Insurance company	Revenue	5444500.0
BOSTON BEER CO INC	US043284048	12.69	2	New York Stock Exchange (NYSE)	Industrial company	Revenue	959934.0
MEDALLION FINANCIAL CORP	US043291176	0.0	102	NASDAQ National Market	Bank	Revenue	37500.0
FIRST MARBLEHEAD CORP	US043295311	5.109999999999999	7	New York Stock Exchange (NYSE)	Bank	Revenue	37500.0
HARVARD BIOSCIENCE INC	US043306140	8.870000000000003	1	NASDAQ National Market	Industrial company	Revenue	108664.0
NEUROMETRIX, INC.	US043308180	3.24	2	NASDAQ National Market	Industrial company	Revenue	7300.0
ENTERPRISE BANCORP INC	US043308902	4.99	2	NASDAQ National Market	Bank	Revenue	112500.0
CELLECTAR BIOSCIENCES, INC.	US043321804	0.0	120	NASDAQ National Market	Industrial company	Revenue	0.0
MEDICINES CO	US043324394	20.73	1	NASDAQ National Market	Industrial company	Revenue	309007.0
FAIRCHILD SEMICONDUCTOR INTERNATIONAL INC	US043363001	19.06	1	NASDAQ National Market	Industrial company	Revenue	1370200.0
SONUS NETWORKS INC	US043387074	13.61	1	NASDAQ National Market	Industrial company	Revenue	249034.0
ATHENAHEALTH, INC	US043387530	11.54	3	NASDAQ National Market	Industrial company	Revenue	924728.0
VUZIX CORP	US043392453	0.91	9	NASDAQ National Market	Industrial company	Revenue	2750.0
LIONBRIDGE TECHNOLOGIES INC	US043398462	11.69	3	NASDAQ National Market	Industrial company	Revenue	559984.0
XURA, INC.	US043398741	13.28	1	NASDAQ National Market	Industrial company	Revenue	477305.0
BROOKLINE BANCORP INC	US043402944	19.75	1	NASDAQ National Market	Bank	Revenue	214549.0
