Company_ID	Employees
US132866202	483.0
US133032158	6200.0
US133045573	4200.0
US133060083	1972.0
US133070826	1778.0
US133094658	
US133115216	
US133119827	10.0
US133136104	132.0
US133138397	
US133139732	23000.0
US133139843	195.0
US133145265	224.0
US133146673	12.0
US133147497	9.0
US133156768	2028.0
US133169913	
US133191702	197.0
US133228013	12200.0
US133250533	6576.0
US133260245	8800.0
US133275609	311.0
US133317783	
US133324058	157900.0
US133326724	6080.0
US133361050	6415.0
US133362547	7360.0
US133379479	66.0
US133385513	8900.0
US133386776	136200.0
US133391527	1356.0
US133404508	30000.0
US133430173	181.0
US133435103	80200.0
US133444607	4300.0
US133458955	798.0
US133475943	5090.0
US133486363	7200.0
US133487402	8500.0
US133487784	177.0
US133513936	47025.0
US133542736	4849.0
US133545623	15.0
US133588231	3578.0
US133607736	192.0
US133621676	
US133632859	5.0
US133637458	738.0
US133641539	136.0
US133648318	2924.0
US133662955	
US133668640	6600.0
US133668641	
US133675988	3500.0
US133679168	
US133680878	254.0
US133711155	958.0
US133714405	425.0
US133714474	277.0
US133717318	54.0
US133725229	2700.0
US133727655	69.0
US133728359	221700.0
US133757370	50000.0
US133768097	2125.0
US133769440	8600.0
US133808303	27.0
US133818604	2900.0
US133823358	8100.0
US133827791	
US133831168	535.0
US133849074	
US133861628	1006.0
US133863260	628.0
US133873847	3386.0
US133883101	568.0
US133893191	165000.0
US133895178	660.0
US133904174	129.0
US133906555	
US133912933	16800.0
US133918742	2003.0
US133926898	272.0
US133929237	159.0
US133937434	38000.0
US133950486	5900.0
US133951308	505000.0
US133956775	1177.0
US133965100	14806.0
US133974868	50.0
US133986004	106.0
US133995059	1900.0
US133998945	
US134007862	168.0
US134019460	36800.0
US134038723	2754.0
US134063515	7500.0
US134066229	1585.0
US134068197	
US134075851	62500.0
US134082185	3500.0
US134084693	175.0
US134087132	184.0
US134099534	24800.0
US134122844	49.0
US134146982	1998.0
US134148725	
US134149421	1122.0
US134151777	17500.0
US134172551	11300.0
US134181699	
US134204626	
US134219346	600.0
US134275891	
US134306188	2700.0
US134921002	2770.0
US134922250	54827.0
US134922640	17405.0
US134996950	4400.0
US135158950	9700.0
US135267260	2280.0
US135315170	97900.0
US135409005	73500.0
US135593032	4900.0
US135658129	27400.0
US136908486	120.0
US136943724	
US140462060	3900.0
US140689340	333000.0
US141387171	
US141541629	2900.0
US141626307	
US141630287	750.0
US141682544	15400.0
US141742717	2220.0
US141798693	6809.0
US141809721	
US141850535	130.0
US141896129	500.0
US141902018	1292.0
US141904657	275.0
US141951112	688.0
US141961545	1600.0
US141985604	375.0
US141999058	
US143071803L	1.0
US149183822L	750.0
US149186642L	75.0
US149195129L	750.0
US149198162L	75.0
US149209348L	750.0
US149209459L	17500.0
US150238546L	1500.0
US160393470	35700.0
US160417150	6400.0
US160422120	127.0
US160442930	10020.0
US160468020	143600.0
US160470200	
US160547600	2747.0
US160716709	9000.0
US160733425	3100.0
US160757636	10691.0
US160797789	
US160816610	660.0
US160837866	
US160838627	6557.0
US160874418	443.0
US160912632	3600.0
US160959303	2300.0
US160961359	
US160968385	17476.0
US160971022	
US160977505	3400.0
US161124166	13000.0
US161171179	21974.0
US161194043	1429.0
US161194720	397.0
US161213679	3500.0
US161229730	104.0
US161237038	377.0
US161241537	37200.0
US161268674	1721.0
US161287774	20350.0
US161332767	
US161387013	691.0
US161387862	44000.0
US161434688	1010.0
US161445150	2628.0
US161482357	998.0
US161531026	9559.0
